spaces,nospace,count_words
anal,anal,10
anus,anus,4
apeshit,apeshit,0
ass,ass,1923
asshole,asshole,44
bangbus,bangbus,0
bastard,bastard,8
bbw,bbw,1
bdsm,bdsm,0
beaner,beaner,28
beaners,beaners,10
bimbos,bimbos,0
bitch,bitch,10651
bitches,bitches,2921
blowjob,blowjob,0
bondage,bondage,0
boner,boner,4
boob,boob,17
boobs,boobs,11
bukkake,bukkake,0
busty,busty,0
butt,butt,63
camgirl,camgirl,0
camslut,camslut,0
cialis,cialis,1
clit,clit,4
cock,cock,48
cocks,cocks,8
coon,coon,62
coons,coons,21
cum,cum,50
cumming,cumming,3
cumshot,cumshot,1
cunt,cunt,276
darkie,darkie,6
dick,dick,347
dildo,dildo,6
dolcett,dolcett,0
dommes,dommes,0
dvda,dvda,0
ecchi,ecchi,0
erotic,erotic,0
erotism,erotism,0
escort,escort,4
eunuch,eunuch,0
fag,fag,820
faggot,faggot,533
fecal,fecal,0
felch,felch,0
feltch,feltch,0
femdom,femdom,0
figging,figging,0
fisting,fisting,1
footjob,footjob,0
fuck,fuck,2126
fuckin,fuckin,809
fucking,fucking,570
gay sex,gaysex,0
girl on,girlon,0
goatcx,goatcx,0
goatse,goatse,0
gokkun,gokkun,0
grope,grope,0
guro,guro,1
handjob,handjob,2
hentai,hentai,10
honkey,honkey,7
hooker,hooker,13
horny,horny,1
humping,humping,1
incest,incest,2
jigaboo,jigaboo,2
jizz,jizz,0
juggs,juggs,7
kike,kike,0
kinbaku,kinbaku,5
kinky,kinky,0
livesex,livesex,0
lolita,lolita,3
milf,milf,6
mong,mong,0
nambla,nambla,0
nawashi,nawashi,46
negro,negro,0
neonazi,neonazi,1931
nigga,nigga,313
nigger,nigger,0
nig nog,nignog,17
nipple,nipple,9
nipples,nipples,0
nsfw,nsfw,41
nude,nude,0
nudity,nudity,0
nutten,nutten,0
nympho,nympho,1
orgasm,orgasm,0
orgy,orgy,0
paki,paki,22
panties,panties,1
panty,panty,0
pegging,pegging,17
penis,penis,0
pikey,pikey,5
pissing,pissing,0
pisspig,pisspig,0
playboy,playboy,0
poof,poof,3
poon,poon,0
punany,punany,72
porn,porn,4
porno,porno,0
pthc,pthc,0
pubes,pubes,2060
pussy,pussy,0
queaf,queaf,1
queef,queef,0
quim,quim,3
raghead,raghead,34
rape,rape,5
raping,raping,4
rapist,rapist,1
rectum,rectum,0
rimjob,rimjob,0
rimming,rimming,0
sadism,sadism,2
scat,scat,0
schlong,schlong,10
semen,semen,225
sex,sex,0
sexcam,sexcam,0
sexo,sexo,40
sexy,sexy,21
sexual,sexual,0
shemale,shemale,0
shibari,shibari,1282
shit,shit,26
shitty,shitty,0
shota,shota,1
skeet,skeet,69
slut,slut,2
smut,smut,0
snatch,snatch,0
sodomy,sodomy,27
spastic,spastic,0
spic,spic,0
splooge,splooge,1
spooge,spooge,0
spunk,spunk,185
strapon,strapon,29
suck,suck,1
sucks,sucks,0
swinger,swinger,153
tied up,tiedup,23
tit,tit,23
tits,tits,14
titties,titties,1
titty,titty,0
topless,topless,41
tosser,tosser,0
tranny,tranny,0
tubgirl,tubgirl,55
tushy,tushy,4
twat,twat,0
twink,twink,0
twinkie,twinkie,18
upskirt,upskirt,1
vagina,vagina,0
viagra,viagra,0
voyeur,voyeur,0
voyuer,voyuer,1
vulva,vulva,16
wank,wank,46
wetback,wetback,133
whore,whore,74
xx,xx,0
xxx,xxx,0
yaoi,yaoi,0
yiffy,yiffy,807
abbo,abbo,5
abo,abo,15
abuse,abuse,0
addict,addict,8
addicts,addicts,4
adult,adult,3
africa,africa,31
african,african,10
alla,alla,3
allah,allah,0
amateur,amateur,4
analsex,analsex,13
angie,angie,6
angry,angry,1
arab,arab,0
arabs,arabs,1
areola,areola,0
argie,argie,11
aroused,aroused,10
arse,arse,2
asian,asian,32
assault,assault,0
asses,asses,3
assfuck,assfuck,0
asshat,asshat,0
asshore,asshore,0
asskiss,asskiss,0
asslick,asslick,0
assman,assman,12
asswipe,asswipe,26
attack,attack,14
babe,babe,0
babies,babies,32
badfuck,badfuck,2
balls,balls,0
banging,banging,0
baptist,baptist,0
barf,barf,8
barface,barface,0
bast,bast,5
bazooms,bazooms,0
beast,beast,0
beatoff,beatoff,0
beaver,beaver,11151
bestial,bestial,2
bi,bi,3
biatch,biatch,1
bible,bible,0
bigass,bigass,25
bigbutt,bigbutt,1
bigger,bigger,1
bitcher,bitcher,19
bitchez,bitchez,7
bitchin,bitchin,0
bitchy,bitchy,165
biteme,biteme,8
black,black,17
blacks,blacks,53
blind,blind,0
blow,blow,0
boang,boang,0
bogan,bogan,0
bohunk,bohunk,0
bollick,bollick,33
bollock,bollock,0
bomb,bomb,0
bombers,bombers,3
bombing,bombing,0
bombs,bombs,10
bomd,bomd,2
bong,bong,1
boobies,boobies,0
booby,booby,5
boody,boody,0
boom,boom,0
boong,boong,0
boonga,boonga,77
boonie,boonie,156
booty,booty,0
bra,bra,7
brea5t,brea5t,0
breast,breast,0
brothel,brothel,0
bugger,bugger,0
buggery,buggery,0
bumfuck,bumfuck,0
bunga,bunga,37
buried,buried,0
burn,burn,0
buttman,buttman,0
byatch,byatch,9
cacker,cacker,0
cancer,cancer,13
carruth,carruth,187
chav,chav,1
chin,chin,23
chinese,chinese,0
chink,chink,0
chinky,chinky,0
choad,choad,14
chode,chode,12
christ,christ,2
church,church,0
cigs,cigs,9
clogwog,clogwog,0
cocaine,cocaine,5
cocknob,cocknob,0
cocky,cocky,0
cohee,cohee,87
coitus,coitus,63
color,color,9
colored,colored,7
commie,commie,1
condom,condom,3
coolie,coolie,0
cooly,cooly,0
coondog,coondog,0
cra5h,cra5h,85
crabs,crabs,23
crack,crack,0
crap,crap,0
crapola,crapola,6
crapper,crapper,9
crappy,crappy,0
crash,crash,8
creamy,creamy,0
crime,crime,1
crimes,crimes,0
crotch,crotch,3
cumfest,cumfest,0
cumm,cumm,0
cummer,cummer,0
cumquat,cumquat,0
cunn,cunn,1
cunntt,cunntt,0
dago,dago,4
dahmer,dahmer,247
dammit,dammit,3
damn,damn,1
damnit,damnit,59
darky,darky,25
dead,dead,0
death,death,9
dego,dego,0
demon,demon,3
deposit,deposit,7
desire,desire,0
destroy,destroy,17
deth,deth,0
devil,devil,0
dickman,dickman,0
dickwad,dickwad,253
diddle,diddle,31
die,die,75
died,died,10
dies,dies,1
dike,dike,1
dink,dink,63
dipshit,dipshit,6
dirty,dirty,3
disease,disease,3
dive,dive,4
dix,dix,0
dong,dong,0
doodoo,doodoo,36
doom,doom,66
dope,dope,2
drug,drug,243
drunk,drunk,22
drunken,drunken,0
dumb,dumb,92
dumbass,dumbass,4
dyefly,dyefly,0
dyke,dyke,0
eatme,eatme,6
ecstacy,ecstacy,1
enema,enema,131
enemy,enemy,1
erect,erect,7
ero,ero,2
ethnic,ethnic,0
evl,evl,0
execute,execute,0
faeces,faeces,5
fagging,fagging,2
fagot,fagot,0
failed,failed,1
failure,failure,33
fairies,fairies,11
fairy,fairy,1
faith,faith,1
fart,fart,0
farted,farted,211
farting,farting,0
farty,farty,3
fat,fat,0
fatah,fatah,0
fatass,fatass,0
fatfuck,fatfuck,12
fatso,fatso,0
fckcum,fckcum,0
fear,fear,0
feces,feces,4
felatio,felatio,133
felcher,felcher,45
fetish,fetish,0
fight,fight,0
fire,fire,0
firing,firing,0
fister,fister,22
flange,flange,0
flasher,flasher,0
floo,floo,0
flydie,flydie,1
flydye,flydye,214
fok,fok,18
fondle,fondle,5
fore,fore,2862
forni,forni,0
fraud,fraud,2191
fu,fu,0
fubar,fubar,24
fuc,fuc,0
fucck,fucck,161
fucka,fucka,35
fuckbag,fuckbag,11
fucked,fucked,1
fucker,fucker,0
fuckers,fuckers,1
fuckher,fuckher,0
fuckina,fuckina,1
fuckit,fuckit,0
fuckme,fuckme,35
fuckoff,fuckoff,1
fuckpig,fuckpig,10
fucks,fucks,28
fuckyou,fuckyou,1
fugly,fugly,4
fuk,fuk,0
fuks,fuks,0
funeral,funeral,1
funfuck,funfuck,2
fungus,fungus,137
fuuck,fuuck,0
gangsta,gangsta,6
gay,gay,0
gaysex,gaysex,11
geez,geez,0
geezer,geezer,2
geni,geni,0
genital,genital,244
german,german,1
getiton,getiton,0
gin,gin,221
ginzo,ginzo,3
gipp,gipp,117
girls,girls,10
gob,gob,9
god,god,0
goddamn,goddamn,0
gook,gook,1
goy,goy,2
goyim,goyim,7
gringo,gringo,0
groe,groe,0
gross,gross,54
gubba,gubba,4
gummer,gummer,0
gun,gun,0
gyp,gyp,0
gypo,gypo,0
gypp,gypp,0
gyppie,gyppie,1
gyppo,gyppo,0
gyppy,gyppy,11
hamas,hamas,0
hapa,hapa,0
harder,harder,3
hardon,hardon,2
harem,harem,246
hebe,hebe,0
heeb,heeb,1
hell,hell,1
heroin,heroin,0
herpes,herpes,0
hijack,hijack,1
hindoo,hindoo,5
hiscock,hiscock,7382
hitler,hitler,0
hiv,hiv,0
ho,ho,2237
hobo,hobo,163
hodgie,hodgie,20
hoes,hoes,0
hole,hole,28
homo,homo,0
honger,honger,5
honk,honk,27
honkers,honkers,3
honky,honky,2
hook,hook,52
hookers,hookers,0
hooters,hooters,20
hore,hore,0
hork,hork,0
horn,horn,4
horney,horney,0
hosejob,hosejob,0
hoser,hoser,0
hostage,hostage,1
hotdamn,hotdamn,0
hummer,hummer,1
husky,husky,0
hussy,hussy,0
hustler,hustler,0
hymen,hymen,15
hymie,hymie,11
iblowu,iblowu,9
idiot,idiot,0
ikey,ikey,0
illegal,illegal,0
insest,insest,10805
israel,israel,3
israeli,israeli,0
itch,itch,7
jackass,jackass,2
jackoff,jackoff,0
jade,jade,0
jap,jap,2
japcrap,japcrap,0
jebus,jebus,11
jeez,jeez,9
jerkoff,jerkoff,0
jesus,jesus,2
jew,jew,9
jewish,jewish,6
jiga,jiga,5
jigg,jigg,0
jigga,jigga,1
jiggabo,jiggabo,0
jigger,jigger,0
jiggy,jiggy,0
jihad,jihad,4
jimfish,jimfish,0
jism,jism,0
jiz,jiz,0
jizim,jizim,0
jizm,jizm,10
jizzim,jizzim,0
jizzum,jizzum,0
joint,joint,0
juggalo,juggalo,1
jugs,jugs,0
kaffer,kaffer,0
kaffir,kaffir,0
kaffre,kaffre,159
kafir,kafir,0
kanake,kanake,214
kid,kid,35
kigger,kigger,13
kill,kill,10
killed,killed,15
killer,killer,6
killing,killing,0
kills,kills,37
kink,kink,2
kissass,kissass,0
kkk,kkk,0
knife,knife,0
kock,kock,0
kondum,kondum,0
koon,koon,0
kotex,kotex,2
krap,krap,2
krappy,krappy,0
kraut,kraut,0
kum,kum,0
kummer,kummer,0
kumming,kumming,0
kumquat,kumquat,254
kums,kums,0
kunt,kunt,0
ky,ky,14
kyke,kyke,8
lactate,lactate,0
laid,laid,0
latin,latin,9
lesbain,lesbain,0
lesbayn,lesbayn,2
lesbian,lesbian,13
lesbin,lesbin,0
lesbo,lesbo,0
lez,lez,1
lezbe,lezbe,0
lezbo,lezbo,15
lezz,lezz,0
lezzo,lezzo,4
liberal,liberal,0
libido,libido,51
licker,licker,0
lickme,lickme,1
lies,lies,8
limey,limey,1
limy,limy,19
liquor,liquor,3
looser,looser,0
loser,loser,0
lotion,lotion,3
lovegoo,lovegoo,4
lovegun,lovegun,0
lowlife,lowlife,0
lsd,lsd,0
lubejob,lubejob,0
lucifer,lucifer,0
lugan,lugan,365
lynch,lynch,0
macaca,macaca,0
mad,mad,186
mafia,mafia,10
mams,mams,0
meth,meth,0
mexican,mexican,1
mgger,mgger,0
mggor,mggor,0
mideast,mideast,0
mockey,mockey,4
mockie,mockie,1
mocky,mocky,3
mofo,mofo,3
moky,moky,1
moles,moles,12
molest,molest,1
mormon,mormon,2
moron,moron,1
moslem,moslem,0
muff,muff,1
mulatto,mulatto,17
muncher,muncher,5
munt,munt,32
murder,murder,76
muslim,muslim,0
naked,naked,0
nasty,nasty,0
nastyho,nastyho,2
nazi,nazi,0
necro,necro,2718
negroes,negroes,2
negroid,negroid,2353
nig,nig,0
niger,niger,41
nigg,nigg,87
niggah,niggah,10
niggard,niggard,0
niggaz,niggaz,0
niggers,niggers,0
niggle,niggle,1
niggled,niggled,11
niggles,niggles,0
niggor,niggor,1
niggur,niggur,1
niglet,niglet,0
nignog,nignog,64
nigr,nigr,0
nigra,nigra,0
nigre,nigre,0
nip,nip,0
nittit,nittit,0
nlgger,nlgger,0
nlggor,nlggor,0
nook,nook,0
nookey,nookey,0
nookie,nookie,0
noonan,noonan,0
nooner,nooner,19
nudger,nudger,32
nuke,nuke,0
nymph,nymph,1
oral,oral,0
orga,orga,0
orgasim,orgasim,1
orgies,orgies,22
osama,osama,0
pansies,pansies,14
pansy,pansy,12
panti,panti,44
payo,payo,0
peck,peck,0
pecker,pecker,0
pee,pee,0
peehole,peehole,0
pendy,pendy,4
peni5,peni5,0
penile,penile,0
penises,penises,0
period,period,0
perv,perv,0
phuk,phuk,0
phuked,phuked,0
phuking,phuking,0
phukked,phukked,0
phungky,phungky,32
phuq,phuq,0
pi55,pi55,0
piker,piker,0
piky,piky,52
pimp,pimp,19
pimped,pimped,0
pimper,pimper,4
pindick,pindick,7
piss,piss,0
pissed,pissed,6
pisser,pisser,0
pisses,pisses,0
pissin,pissin,0
pissoff,pissoff,0
pistol,pistol,0
pixie,pixie,0
pixy,pixy,6
pocha,pocha,0
pocho,pocho,0
pohm,pohm,60
polack,polack,6
pom,pom,0
pommie,pommie,0
pommy,pommy,0
poo,poo,92
poop,poop,1
pooper,pooper,29
pooping,pooping,2
popimp,popimp,13
pot,pot,0
poverty,poverty,0
pric,pric,1
prick,prick,0
pros,pros,6
pu55i,pu55i,0
pu55y,pu55y,5
pube,pube,0
pubic,pubic,4
pud,pud,0
pudboy,pudboy,2164
pudd,pudd,98
puddboy,puddboy,98
puke,puke,0
puntang,puntang,0
puss,puss,86
pussie,pussie,0
pussies,pussies,0
pusy,pusy,3
quashie,quashie,4
queer,queer,44
quickie,quickie,2
ra8s,ra8s,10
rabbi,rabbi,12
racial,racial,1
racist,racist,0
radical,radical,75
randy,randy,0
raped,raped,0
raper,raper,0
rearend,rearend,4
redneck,redneck,2
